channel_id,z,element,shell,kappa,occupancy,file,n_rows,e0_min_keV,e0_max_keV,e_th_keV_bote,s_cert_min_A_inv,s_cert_max_A_inv,dataset_version
M2_Z32,32,Ge,M2,1,2.0,F_M2_Z32.json,22,30.0,400.0,0.12927,14.00,16.00,5.0.0
M3_Z32,32,Ge,M3,-2,4.0,F_M3_Z32.json,22,30.0,400.0,0.12480,14.00,16.00,5.0.0
K_Z33,33,As,K,-1,2.0,F_K_Z33.json,31,30.0,400.0,11.82910,14.00,16.00,5.0.0
L1_Z33,33,As,L1,-1,2.0,F_L1_Z33.json,27,30.0,400.0,1.51918,14.00,16.00,5.0.0
L2_Z33,33,As,L2,1,2.0,F_L2_Z33.json,28,30.0,400.0,1.36568,14.00,16.00,5.0.0
L3_Z33,33,As,L3,-2,4.0,F_L3_Z33.json,28,30.0,400.0,1.32813,14.00,16.00,5.0.0
M1_Z33,33,As,M1,-1,2.0,F_M1_Z33.json,22,30.0,400.0,0.20195,14.00,16.00,5.0.0
M2_Z33,33,As,M2,1,2.0,F_M2_Z33.json,22,30.0,400.0,0.14887,14.00,16.00,5.0.0
M3_Z33,33,As,M3,-2,4.0,F_M3_Z33.json,22,30.0,400.0,0.14363,14.00,16.00,5.0.0
M4_Z33,33,As,M4,2,4.0,F_M4_Z33.json,22,30.0,400.0,0.05117,14.00,16.00,5.0.0
M5_Z33,33,As,M5,-3,6.0,F_M5_Z33.json,22,30.0,400.0,0.05037,14.00,16.00,5.0.0
K_Z34,34,Se,K,-1,2.0,F_K_Z34.json,31,30.0,400.0,12.61870,14.00,16.00,5.0.0
L1_Z34,34,Se,L1,-1,2.0,F_L1_Z34.json,28,30.0,400.0,1.64151,14.00,16.00,5.0.0
L2_Z34,34,Se,L2,1,2.0,F_L2_Z34.json,24,30.0,400.0,1.48129,14.00,16.00,5.0.0
L3_Z34,34,Se,L3,-2,4.0,F_L3_Z34.json,26,30.0,400.0,1.43845,14.00,16.00,5.0.0
M1_Z34,34,Se,M1,-1,2.0,F_M1_Z34.json,22,30.0,400.0,0.22607,14.00,16.00,5.0.0
M2_Z34,34,Se,M2,1,2.0,F_M2_Z34.json,22,30.0,400.0,0.16973,14.00,16.00,5.0.0
M3_Z34,34,Se,M3,-2,4.0,F_M3_Z34.json,22,30.0,400.0,0.16360,14.00,16.00,5.0.0
M4_Z34,34,Se,M4,2,4.0,F_M4_Z34.json,22,30.0,400.0,0.06480,14.00,16.00,5.0.0
M5_Z34,34,Se,M5,-3,6.0,F_M5_Z34.json,22,30.0,400.0,0.06382,14.00,16.00,5.0.0
K_Z35,35,Br,K,-1,2.0,F_K_Z35.json,35,30.0,400.0,13.43570,14.00,16.00,5.0.0
L1_Z35,35,Br,L1,-1,2.0,F_L1_Z35.json,25,30.0,400.0,1.76926,14.00,16.00,5.0.0
L2_Z35,35,Br,L2,1,2.0,F_L2_Z35.json,29,30.0,400.0,1.60223,14.00,16.00,5.0.0
