Z,element,channel,delta1_eV,delta2_eV,beta_mrad,sigma_ratio_db_over_temari,reconstruction_check_rel,clamp_weight_temari,clamp_weight_db
15,P,K,0,50,30,1.103154,4.152e-05,0.000e+00,1.253e-04
15,P,K,0,50,100,1.056185,1.151e-04,0.000e+00,1.242e-04
15,P,K,50,150,10,1.125216,8.042e-05,0.000e+00,0.000e+00
15,P,K,50,150,30,1.101951,9.220e-05,0.000e+00,0.000e+00
15,P,K,50,150,100,1.054186,1.656e-04,0.000e+00,0.000e+00
16,S,K,0,100,10,1.118906,3.465e-05,0.000e+00,1.296e-04
16,S,K,0,100,30,1.096026,4.809e-05,0.000e+00,1.276e-04
16,S,K,0,100,100,1.049150,1.086e-04,0.000e+00,1.256e-04
16,S,K,0,200,10,1.120265,6.826e-05,0.000e+00,3.104e-05
16,S,K,0,200,30,1.097617,7.935e-05,0.000e+00,3.013e-05
16,S,K,0,200,100,1.050307,1.338e-04,0.000e+00,2.924e-05
16,S,K,0,50,10,1.118450,2.176e-05,0.000e+00,1.238e-04
16,S,K,0,50,30,1.095423,3.648e-05,0.000e+00,1.228e-04
16,S,K,0,50,100,1.048775,1.028e-04,0.000e+00,1.217e-04
16,S,K,50,150,10,1.120654,6.692e-05,0.000e+00,0.000e+00
16,S,K,50,150,30,1.098028,7.722e-05,0.000e+00,0.000e+00
16,S,K,50,150,100,1.050652,1.285e-04,0.000e+00,0.000e+00
17,Cl,K,0,100,10,1.113308,3.020e-05,0.000e+00,1.256e-04
17,Cl,K,0,100,30,1.090993,4.115e-05,0.000e+00,1.237e-04
17,Cl,K,0,100,100,1.044618,1.125e-04,0.000e+00,1.218e-04
17,Cl,K,0,200,10,1.115923,5.892e-05,0.000e+00,2.981e-05
17,Cl,K,0,200,30,1.093818,6.806e-05,0.000e+00,2.900e-05
17,Cl,K,0,200,100,1.047093,1.365e-04,0.000e+00,2.817e-05
17,Cl,K,0,50,10,1.111262,2.097e-05,0.000e+00,1.205e-04
17,Cl,K,0,50,30,1.088831,3.319e-05,0.000e+00,1.195e-04
17,Cl,K,0,50,100,1.042682,1.063e-04,0.000e+00,1.184e-04
17,Cl,K,50,150,10,1.117104,5.621e-05,0.000e+00,0.000e+00
17,Cl,K,50,150,30,1.094975,6.461e-05,0.000e+00,0.000e+00
17,Cl,K,50,150,100,1.048136,1.331e-04,0.000e+00,0.000e+00
18,Ar,K,0,100,10,1.108053,2.726e-05,0.000e+00,1.214e-04
18,Ar,K,0,100,30,1.086294,3.672e-05,0.000e+00,1.198e-04
18,Ar,K,0,100,100,1.040522,8.782e-05,0.000e+00,1.178e-04
18,Ar,K,0,200,10,1.111931,5.142e-05,0.000e+00,2.860e-05
18,Ar,K,0,200,30,1.090358,5.907e-05,0.000e+00,2.788e-05
18,Ar,K,0,200,100,1.044287,1.086e-04,0.000e+00,2.711e-05
18,Ar,K,0,50,10,1.104073,2.069e-05,0.000e+00,1.171e-04
18,Ar,K,0,50,30,1.082231,3.123e-05,0.000e+00,1.161e-04
18,Ar,K,0,50,100,1.036706,8.375e-05,0.000e+00,1.150e-04
18,Ar,K,50,150,10,1.114125,4.812e-05,0.000e+00,0.000e+00
18,Ar,K,50,150,30,1.092486,5.518e-05,0.000e+00,0.000e+00
18,Ar,K,50,150,100,1.046244,1.045e-04,0.000e+00,0.000e+00
19,K,K,0,100,10,1.124587,2.703e-05,0.000e+00,1.211e-04
19,K,K,0,100,30,1.100803,3.490e-05,0.000e+00,1.199e-04
19,K,K,0,100,100,1.053343,9.682e-05,0.000e+00,1.188e-04
19,K,K,0,200,10,1.126636,4.719e-05,0.000e+00,2.833e-05
19,K,K,0,200,30,1.102991,5.363e-05,0.000e+00,2.776e-05
19,K,K,0,200,100,1.055205,1.106e-04,0.000e+00,2.722e-05
19,K,K,0,50,10,1.121737,2.678e-05,0.000e+00,1.174e-04
19,K,K,0,50,30,1.098013,3.555e-05,0.000e+00,1.169e-04
19,K,K,0,50,100,1.051035,9.992e-05,0.000e+00,1.165e-04
19,K,K,50,150,10,1.128328,4.216e-05,0.000e+00,0.000e+00
19,K,K,50,150,30,1.104556,4.811e-05,0.000e+00,0.000e+00
19,K,K,50,150,100,1.056480,1.051e-04,0.000e+00,0.000e+00
20,Ca,K,0,100,10,1.097103,2.826e-05,0.000e+00,1.177e-04
20,Ca,K,0,100,30,1.077826,3.506e-05,0.000e+00,1.167e-04
20,Ca,K,0,100,100,1.034101,8.462e-05,0.000e+00,1.160e-04
20,Ca,K,0,200,10,1.103200,4.375e-05,0.000e+00,2.725e-05
20,Ca,K,0,200,30,1.083977,4.940e-05,0.000e+00,2.677e-05
20,Ca,K,0,200,100,1.039855,9.736e-05,0.000e+00,2.633e-05
20,Ca,K,0,50,10,1.087733,2.174e-05,0.000e+00,1.155e-04
20,Ca,K,0,50,30,1.068619,2.923e-05,0.000e+00,1.151e-04
20,Ca,K,0,50,100,1.025570,7.945e-05,0.000e+00,1.150e-04
20,Ca,K,50,150,10,1.108230,4.199e-05,0.000e+00,0.000e+00
20,Ca,K,50,150,30,1.088767,4.735e-05,0.000e+00,0.000e+00
20,Ca,K,50,150,100,1.044179,9.520e-05,0.000e+00,0.000e+00
20,Ca,L1,0,100,10,1.124939,5.355e-05,0.000e+00,1.586e-04
